A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1
A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2
A3,B3,C3,D3,E3,F3,G3,H3,I3,J3,K3
A4,B4,C4,D4,E4,F4,G4,H4,I4,J4,K4
A5,B5,C5,D5,E5,F5,G5,H5,I5,J5,K5
A6,B6,C6,D6,E6,F6,G6,H6,I6,J6,K6
A7,B7,C7,D7,E7,F7,G7,H7,I7,J7,K7
A8,B8,C8,D8,E8,F8,G8,H8,I8,J8,K8
A9,B9,C9,D9,E9,F9,G9,H9,I9,J9,K9
A10,B10,C10,D10,E10,F10,G10,H10,I10,J10,K10
A11,B11,C11,D11,E11,F11,G11,H11,I11,J11,K11
A12,B12,C12,D12,E12,F12,G12,H12,I12,J12,K12
A13,B13,C13,D13,E13,F13,G13,H13,I13,J13,K13
A14,B14,C14,D14,E14,F14,G14,H14,I14,J14,K14
A15,B15,C15,D15,E15,F15,G15,H15,I15,J15,K15
A16,B16,C16,D16,E16,F16,G16,H16,I16,J16,K16
A17,B17,C17,D17,E17,F17,G17,H17,I17,J17,K17
A18,B18,C18,D18,E18,F18,G18,H18,I18,J18,K18
A19,B19,C19,D19,E19,F19,G19,H19,I19,J19,K19
A20,B20,C20,D20,E20,F20,G20,H20,I20,J20,K20
